,0
1265,0.962
1266,3.0
1267,1.72
1268,8.8
1269,0.74
1270,8.0
1271,3.8
1272,1.36
1273,1.0
1274,8.9
1275,8.42
1276,2.9
1277,0.478
1278,2.8
1279,1.41
1280,11.3
1281,1.5
1282,0.682
1283,1.48
1284,6.8
1285,3.15
1286,6.42
1287,2.33
1288,4.07
1289,2.05
1290,2.52
1291,2.0
1292,6.0
1293,1.11
1294,4.05
1295,1.3
1296,3.65
1297,2.88
1298,2.53
1299,0.5
1300,11.9
1301,0.57
1302,0.94
1303,79.0
1304,43.9
1305,9.37
1306,4.0
1307,1.04
1308,2.68
1309,15.0
1310,25.2
1311,5.02
1312,1.53
1313,1.03
1314,3.49
1315,4.48
1316,3.38
1317,22.0
1318,2.8
1319,2.07
1320,3.89
1321,2.13
1322,1.18
1323,1.85
1324,13.5
1325,7.25
1326,1.2
1327,5.0
1328,11.9
1329,0.172
1330,14.8
1331,12.8
1332,1.72
1333,1.25
1334,14.1
1335,0.632
1336,12.2
1337,2.55
1338,0.765
1339,3.89
1340,0.496
1341,2.36
1342,47.2
1343,60.0
1344,2.05
1345,0.172
1346,18.6
1347,0.77
1348,3.58
1349,6.19
1350,2.02
1351,3.1
1352,1.39
1353,1.1
1354,2.38
1355,23.2
1356,0.71
1357,2.62
1358,1.43
1359,6.2
1360,5.81
1361,0.4
1362,0.3
1363,16.6
1364,7.4
1365,11.9
1366,6.1
1367,11.4
1368,9.42
1369,2.68
1370,1.84
1371,64.0
1372,4.87
1373,19.2
1374,1.25
1375,6.1
1376,0.763
1377,2.6
1378,17.0
1379,19.0
1380,9.0
1381,2.0
1382,9.6
1383,2.62
1384,5.63
1385,5.0
1386,17.3
1387,3.47
1388,1.85
1389,8.25
1390,5.85
1391,0.639
1392,2.68
1393,2.07
1394,2.05
1395,51.8
1396,1.19
1397,1.85
1398,1.58
1399,9.98
1400,1.67
1401,0.82
1402,3.38
1403,2.93
1404,2.82
1405,13.8
1406,44.3
1407,6.1
1408,3.08
1409,6.42
1410,1.69
1411,7.72
1412,1.71
1413,5.5
1414,6.02
1415,64.2
1416,2.24
1417,30.0
1418,7.65
1419,1.93
1420,1.4
1421,0.75
1422,3.0
1423,30.0
1424,4.5
1425,50.0
1426,71.2
1427,1.63
1428,21.2
1429,1.78
1430,1.4
1431,2.19
1432,2.3
1433,25.0
1434,12.9
1435,2.91
1436,18.5
1437,143.0
1438,5.6
1439,1.2
1440,0.625
1441,6.0
1442,1.74
1443,4.8
1444,0.905
1445,33.0
1446,1.18
1447,6.23
1448,11.1
1449,11.1
1450,3.79
1451,0.345
1452,7.1
1453,1.12
1454,3.1
1455,1.02
1456,1.97
1457,0.57
1458,22.3
1459,2.24
1460,1.39
1461,1.25
1462,6.23
1463,1.3
1464,2.17
1465,1.69
1466,24.0
1467,2.08
1468,2.37
1469,0.99
1470,8.0
1471,40.0
1472,22.3
1473,1.54
1474,1.48
1475,0.7170000000000001
1476,1.3
1477,60.0
1478,18.8
1479,1.18
1480,6.35
1481,1.85
1482,1.07
1483,1.5
1484,1.03
1485,5.6
1486,8.0
1487,2.7
1488,50.0
1489,1.63
1490,12.9
1491,3.81
1492,1.4
1493,1.43
1494,1.59
1495,5.39
1496,4.77
1497,9.43
1498,2.92
1499,7.75
1500,4.46
1501,5.39
1502,7.4
1503,1.18
1504,1.8
1505,2.63
1506,1.1
1507,16.3
1508,2.0
1509,6.1
1510,5.8
1511,3.61
1512,6.8
1513,12.0
1514,5.6
1515,1.62
1516,2.37
1517,4.78
1518,4.6
1519,24.0
1520,18.5
1521,0.77
1522,11.3
1523,1.28
1524,11.9
1525,13.8
